Coluna1,inlet_pressure,outlet_pressure,gasliftrate,Pipesim,Chen,HB,BB,flowrate por Chen,flowrate por Chen,flowrate por Chen,flowrate por H&B
106,196.5802,8.039821,3900.056,10434.77164,10325.33568,9900.312257,7330.716613,10325.335680000004,10325.335680000004,10325.335680000004,9617.235027815159
121,196.6027,8.015448,3999.991,10269.28187,10325.33568,9915.039446,7339.737696,10325.335680000004,10325.335680000004,10325.335680000004,9632.016560999073
63,194.1305,9.985534,4399.966,6386.410751,8695.01952,8517.967185,6462.301539,8695.019520000002,8695.019520000002,8695.019520000002,8234.944299631368
87,195.8464,10.02371,3999.991,8475.430438,9238.45824,9045.591838,6798.690107,9238.458240000002,9238.458240000002,9238.458240000002,8762.568952876234
60,193.8126,7.02461,3900.056,8728.754453,9781.89696,9349.156707,6989.437097,9781.896960000002,9781.896960000002,9781.896960000002,9066.133821866433
159,195.091,10.99685,4300.031,6675.518439,8695.01952,8501.990087,6452.030547,8695.019520000002,8695.019520000002,8695.019520000002,8218.967201263464
98,195.0363,10.97412,3900.056,7078.845787,8695.01952,8491.93647,6445.563626,8695.019520000002,8695.019520000002,8695.019520000002,8208.913584943522
48,194.8481,8.008092,4199.978,8465.076035,9781.89696,9365.514213,6999.653745,9781.896960000002,9781.896960000002,9781.896960000002,9082.491327338335
100,195.6149,7.046399,3900.056,10181.14397,10325.33568,9909.115964,7336.096657,10325.335680000004,10325.335680000004,10325.335680000004,9626.093078951106
132,196.5315,8.041438,3699.95,10793.49926,10325.33568,9884.443846,7320.98906,10325.335680000004,10325.335680000004,10325.335680000004,9601.420961063253
31,196.64,7.029441,4399.966,9994.006825,10325.33568,10236.86386,7536.082106,10325.335680000004,10325.335680000004,10325.335680000004,9953.78662710916
64,195.5901,7.054425,3800.003,10363.523,10325.33568,9898.790629,7329.792768,10325.335680000004,10325.335680000004,10325.335680000004,9615.767743271168
144,195.8892,10.03253,4199.978,8160.55469,9238.45824,9056.297581,6805.428747,9238.458240000002,9238.458240000002,9238.458240000002,8773.274695660171
76,194.0285,10.04348,3800.003,7137.810173,8695.01952,8467.699103,6429.912591,8695.019520000002,8695.019520000002,8695.019520000002,8184.621874159667
97,195.75,9.007125,3900.056,9185.643126,9781.89696,9334.972957,6980.579046,9781.896960000002,9781.896960000002,9781.896960000002,9051.950071274516
22,195.6288,8.004781,3699.95,10078.26246,9781.89696,9612.126704,7153.012152,9781.896960000002,9781.896960000002,9781.896960000002,9329.04947460087
23,195.8334,10.03496,3900.056,8571.656623,9238.45824,9037.983696,6793.853502,9238.458240000002,9238.458240000002,9238.458240000002,8754.96081079628
54,195.6625,7.010681,4100.043,9830.657705,10325.33568,9935.364055,7352.182443,10325.335680000004,10325.335680000004,10325.335680000004,9652.286825254952
13,193.9731,8.996811,3999.991,7545.905666,9238.45824,8779.415553,6629.789352,9238.458240000002,9238.458240000002,9238.458240000002,8496.392667821816
156,195.565,6.983275,3699.95,10548.4141,10325.33568,9913.300442,7338.650819,10325.335680000004,10325.335680000004,10325.335680000004,9630.277557095082
118,196.016,11.05494,4399.966,7226.708473,9238.45824,8774.633292,6626.746096,9238.458240000002,9238.458240000002,9238.458240000002,8491.610407085844
68,194.0164,8.992967,4199.978,7227.44879,9238.45824,8794.25143,6639.245186,9238.458240000002,9238.458240000002,9238.458240000002,8511.228544877727
88,193.8358,7.006255,3999.991,8557.683449,9781.89696,9362.25358,6997.588678,9781.896960000002,9781.896960000002,9781.896960000002,9079.230695018354
115,196.8655,11.00395,4199.978,8332.940699,9238.45824,9057.819209,6806.406936,9238.458240000002,9238.458240000002,9238.458240000002,8774.796324076164
107,194.6609,7.00642,3699.95,9844.2946,9781.89696,9621.691225,7158.935634,9781.896960000002,9781.896960000002,9781.896960000002,9338.668339944814
15,195.8341,9.031704,4300.031,8566.286186,9781.89696,9353.721592,6992.262979,9781.896960000002,9781.896960000002,9781.896960000002,9070.644363242405
160,195.7262,8.030036,4100.043,9361.093295,9781.89696,9634.788098,7167.087215,9781.896960000002,9781.896960000002,9781.896960000002,9351.765213096734
82,196.7171,9.015619,4199.978,9426.554907,9781.89696,9636.472759,7168.119748,9781.896960000002,9781.896960000002,9781.896960000002,9353.449873128726
114,195.7278,9.013833,3800.003,9349.01985,9781.89696,9325.89753,6974.87294,9781.896960000002,9781.896960000002,9781.896960000002,9042.87464465057
138,195.9957,11.04619,4300.031,7376.247538,9238.45824,8770.992253,6624.409309,9238.458240000002,9238.458240000002,9238.458240000002,8487.969367661864
103,195.7926,8.975096,4100.043,8872.248013,9781.89696,9358.449509,6995.197548,9781.896960000002,9781.896960000002,9781.896960000002,9075.426623978377
74,196.5561,8.042319,3800.003,10612.55067,10325.33568,9891.943301,7325.553946,10325.335680000004,10325.335680000004,10325.335680000004,9608.866071527209
30,195.7038,8.046512,3999.991,9526.276896,9781.89696,9622.560727,7159.479073,9781.896960000002,9781.896960000002,9781.896960000002,9339.537841896808
20,194.8858,7.996971,4399.966,8187.635244,9781.89696,9380.893528,7009.218267,9781.896960000002,9781.896960000002,9781.896960000002,9097.870643114244
47,196.6958,9.032426,4100.043,9583.321477,9781.89696,9624.462763,7160.674638,9781.896960000002,9781.896960000002,9781.896960000002,9341.439877416797
72,195.0262,10.94937,3800.003,7152.784658,8695.01952,8496.555699,6448.498195,8695.019520000002,8695.019520000002,8695.019520000002,8213.532814063494
147,196.4674,6.99477,3699.95,11265.6987,10325.33568,10193.49745,7509.725328,10325.335680000004,10325.335680000004,10325.335680000004,9910.420217253419
89,195.1104,10.99621,4399.966,6533.088929,8695.01952,8508.293976,6456.106337,8695.019520000002,8695.019520000002,8695.019520000002,8225.271090415425
70,194.7546,8.009419,3800.003,9154.118159,9781.89696,9335.733771,6981.013797,9781.896960000002,9781.896960000002,9781.896960000002,9052.656541610513
1,196.7596,8.988092,4399.966,9112.871195,9781.89696,9658.482027,7181.76006,9781.896960000002,9781.896960000002,9781.896960000002,9375.459141288595
